stride-length 5
input google-circuit
-------------------------------
--- input-specific specs
-------------------------------
google-circuit-num-rows 6
google-circuit-num-cols 6
google-circuit-num-cycles 12
google-circuit-patterns EFGH
google-circuit-seed 15210
-------------------------------
gates  597
qubits 36
show-circuit? no
sim query-bfs
warmup 0.0000
repeat 1
quantum simulator (query-bfs)
gate 400: non-zeros: 365661480; slack: 60%; density: 0.00532107
gate 401: non-zeros: 365661480; slack: 60%; density: 0.00532107
gate 402: non-zeros: 360392643; slack: 61%; density: 0.00524440
gate 403: non-zeros: 360392643; slack: 61%; density: 0.00524440
gate 404: non-zeros: 355166853; slack: 61%; density: 0.00516836
gate 405: non-zeros: 350179700; slack: 61%; density: 0.00509579
gate 406: non-zeros: 350179700; slack: 60%; density: 0.00509579
gate 407: non-zeros: 345633282; slack: 61%; density: 0.00502963
gate 408: non-zeros: 345633282; slack: 60%; density: 0.00502963
gate 409: non-zeros: 634680910; slack: 27%; density: 0.00923582
